secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,3440,2951 WELSH RD,School,Elementary School,,Robert B. Pollock Elementary School,Y,,,1.20591859,
,3441,2962-64 N FRANKLIN ST,House of Worship,,,Second Mennonite Church,Y,,,0.04987459,
,3247,338-46 S 26TH ST,Playground,,,Markward Playground Building,Y,Markward Playground,Park,0.05837506,3.67718763
,3442,2970 MARKET ST,Post Office,,United States Post Office,USPS Building,Y,,,4.30352199,
,3443,2981 COMLY RD,Playground,,,Palmer Playground,Y,Palmer Playground,Playground,0.00736234,75.21312077
,3444,2981 COMLY RD,Playground,,,Palmer Playground Building 1,Y,Palmer Playground,Park,0.07216889,75.21312077
,3445,2981 COMLY RD,Playground,,,Palmer Playground Building 2,Y,Palmer Playground,Park,0.06918713,75.21312077
,3446,2987 ALMOND ST,Library,,,Library Branch - Richmond,Y,,,0.17681435,
,3447,2990 HOLME AVE,Health Center,,,Immaculate Mary Center for Rehabilitation & Healthcare,Y,,,0.95026823,
,3448,427-43 E CHELTEN AVE,House of Worship,,,Miraculous Medal Family Central Association,Y,,,0.58713176,
,3449,427 W TABOR RD,House of Worship,,,Way of the Cross Family Center,Y,,,0.03625485,
,3450,4278 GRISCOM ST,Museum,,,Grand Army of the Republic Civil War Museum and Library,Y,,,0.03599903,
,3451,428 N 40TH ST,House of Worship,,,Community Baptist Church,Y,,,0.0778257,
,3452,4290-98 MACALESTER ST,Police Station,,,Police Tow Squad (Major Crimes / Auto Squad),Y,,,0.4922683,
,3453,3400 W GIRARD AVE,Zoo,,,Rare Animal Conservation Center,Y,Philadelphia Zoological Garden,Park,0.36322625,43.79150814
,2854,600-36 WASHINGTON AVE,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,1.42928649,235.41966052
,2855,600-44 LOMBARD ST,Playground,,,Starr Garden Playground,N,Starr Garden Playground,Playground,2.08252421,2.1669416
,2856,600 PORT ROYAL AVE,Playground,,,Al Pearlman Sports Complex,N,Al Pearlman Sports Complex,Playground,16.95974594,17.23304735
,3032,3200 BELGRADE ST,House of Worship,,,St. Paul's House,Y,,,0.1151214,
,3033,3200 N BROAD ST,House of Worship,,,Greater Ebenezer Baptist Church,Y,,,0.18807624,
,3034,3325 RED LION RD,Playground,,,Picariello Playground Building,Y,Picariello Playground,Park,0.07154339,10.1310748
,2857,600 WALNUT ST,Park,,,Washington Square,N,Washington Square,Park,7.17097241,7.18823145
,2858,300 E COURTLAND ST,Cemetery,,,Greenmount Cemetery,Y,Greenmount Cemetery,Cemetery,0.12572551,73.3809626
,2859,300 E HUNTING PARK AVE,Municipal Building,,,Philadelphia Safety Collaborative (SVU/SAIU),Y,,,0.88409314,
,2860,300 SHUNK ST,Playground,,,Murphy Recreation Center,Y,Murphy Recreation Center,Playground,0.28253499,4.96719126
,2861,3143 W PASSYUNK AVE,Playground,,,Moor St Playground,Y,Moor St Playground,Playground,0.01232692,2.35769879
,2862,3149-59 F ST,House of Worship,,,Seventh Day Adventists Church,Y,,,0.11009268,
,2863,315-17 BAINBRIDGE ST,School,Vocational School,,Jean Madeline Aveda Institute,Y,,,0.14231372,
,2864,315 S 17TH ST,School,High School,,The City School High School,Y,,,0.04332017,
,2865,315 S 59TH ST,House of Worship,,,Fifty-Ninth Street Baptist Church,Y,,,0.14245639,
,2866,3150 FRANKFORD AVE,House of Worship,,,Native American Church,Y,,,0.03552215,
,2867,3150 WILLITS RD,School,,,Stepping Stones II Learning Academy,Y,,,0.02952012,
,2868,3151 W DAKOTA ST,House of Worship,,,Bethem Baptist Church,Y,,,0.03682178,
,3035,3330-46 GRANT AVE,Shopping Center Ground,,,Grant Avenue Shopping Center,Y,Grant Avenue Shopping Center,Shopping Center Ground,1.92979451,6.59980961
,3036,3338 KENSINGTON AVE,House of Worship,,,Inglesia Nueva Vida en Cristo,Y,,,0.03829409,
,3037,334-36 SOUTH ST,Theatre,,,Theatre of The Living Arts,Y,,,0.6151651,
,3038,334 E HAINES ST,School,Learning Center,,Lotus Academy,Y,,,0.29923263,
,3039,3340 N BROAD ST,University/College Ground,,,Temple University Health Science Campus,Y,Temple University Health Science Campus,University/College Ground,8.48864404,24.03199966
,3240,3345 W HUNTING PARK AVE,School,Elementary School,,Prodigy Learning Centers Elementary School,Y,,,0.30485852,
,3241,335-37 FAIRMOUNT AVE,House of Worship,,,Saint Michael The Archangel Orthodox Church,Y,,,0.14384031,
,3242,335 E CHEW AVE,House of Worship,,,Lao Buddhist Temple,Y,,,0.34435699,
,3243,3350 RICHMOND ST,School,Middle School,,AMY at James Martin Middle School,Y,,,0.41806042,
,3249,339 N 63RD ST,House of Worship,,,Our Lady of the Blessed Sacrament Catholic Church,Y,,,0.62670613,
,3250,34-36 E SHARPNACK ST,House of Worship,,,Sanctuary Church-God In Christ,Y,,,0.11513547,
,3251,3400-42 FRANKFORD AVE,School,Elementary School,,John H. Webster Elementary School,Y,,,1.38905148,
